"Story","Title","Result","Date","Stability","Duration (s)"
"CreateCategory","POST - As an Admin I have be able to add new category for product","SUCCESS","2022-05-18T20:59:42.163+07:00[Asia/Bangkok]","0.0","11.57"
"CreateProduct","POST - As an Admin I have be able to add new product","SUCCESS","2022-05-18T20:59:53.796+07:00[Asia/Bangkok]","0.0","0.52"
"GetAllCategory","GET - As an Admin I have be able to get all data category","SUCCESS","2022-05-18T20:59:54.435+07:00[Asia/Bangkok]","0.0","1.4"
"GetAllProduct","GET - As an Admin I have be able to get all data product","SUCCESS","2022-05-18T20:59:55.933+07:00[Asia/Bangkok]","0.0","1.25"
"GetDetailsProduct","GET - As an Admin I have be able to get data details product","SUCCESS","2022-05-18T20:59:57.303+07:00[Asia/Bangkok]","0.0","0.28"
"LoginUser","POST - As an Admin I have be able to login","SUCCESS","2022-05-18T20:59:57.648+07:00[Asia/Bangkok]","0.0","0.24"
